Número,Primeiro Nome,Segundo Nome,Valor da Compra,Estado de Compra
0,João,Silva,150.00,São Paulo
1,Maria,Santos,75.50,Rio de Janeiro
2,Pedro,Oliveira,220.30,Minas Gerais
3,Ana,Pereira,45.90,Bahia
4,Carlos,Souza,310.75,Rio Grande do Sul
5,Laura,Almeida,95.20,Santa Catarina
6,Luiz,Fernandes,180.10,Paraná
7,Juliana,Costa,62.30,Pernambuco
8,Marcos,Pereira,200.45,Ceará
9,Isabela,Oliveira,120.60,Goiás
10,Renato,Rodrigues,85.75,Espírito Santo
11,Lúcia,Ribeiro,42.90,Sergipe
12,Roberto,Souza,310.00,Mato Grosso
13,Júlia,Lima,75.25,Amazonas
14,André,Santos,160.80,Rondônia
15,Beatriz,Silva,95.70,Tocantins
16,Gabriel,Castro,130.45,Acre
17,Patrícia,Mendes,57.30,Amapá
18,Thiago,Oliveira,220.20,Roraima
19,Carolina,Pereira,110.90,Maranhão
20,André,Lopes,210.50,São Paulo
21,Amanda,Alves,45.70,Rio de Janeiro
22,Paulo,Carvalho,320.90,Minas Gerais
23,Marina,Souza,85.20,Bahia
24,Lucas,Silva,280.60,Rio Grande do Sul
25,Isabella,Ferreira,92.75,Santa Catarina
26,Rafael,Martins,75.40,Paraná
27,Camila,Rodrigues,160.25,Pernambuco
28,Gustavo,Almeida,110.20,Ceará
29,Patrícia,Silveira,210.30,Goiás
30,Eduardo,Lima,95.90,Espírito Santo
31,Flávia,Santana,37.60,Sergipe
32,Fernando,Barbosa,410.20,Mato Grosso
33,Mariana,Gomes,82.10,Amazonas
34,Thales,Costa,124.40,Rondônia
35,Larissa,Pereira,77.30,Tocantins
36,Daniel,Albuquerque,190.00,Acre
37,Sandra,Melo,53.80,Amapá
38,Vinícius,Correia,315.70,Roraima
39,Carla,Teixeira,170.40,Maranhão
